app_name,app_size_bytes,app_price,app_ratings_count,app_rating,app_genre
PAC-MAN Premium,100788224,3.99,21292,4,Games
Evernote - stay organized,158578688,0,161065,4,Productivity
WeatherBug - Local Weather Radar Maps Alerts,100524032,0,188583,3.5,Weather
eBay: Best App to Buy Sell Save! Online Shopping,128512000,0,262241,4,Shopping
Bible,92774400,0,985920,4.5,Reference
Shanghai Mahjong,10485713,0.99,8253,4,Games
PayPal - Send and request money safely,227795968,0,119487,4,Finance
Pandora - Music & Radio,130242560,0,1126879,4,Music
PCalc - The Best Calculator,49250304,9.99,1117,4.5,Utilities
Ms. PAC-MAN,70023168,3.99,7885,4,Games
Solitaire by MobilityWare,49618944,4.99,76720,4.5,Games
SCRABBLE Premium,227547136,7.99,105776,3.5,Games
Google – Search made just for mobile,179979264,0,479440,3.5,Utilities
Bank of America - Mobile Banking,160925696,0,119773,3.5,Finance
FreeCell,55153664,4.99,6340,4.5,Games
TripAdvisor Hotels Flights Restaurants,207907840,0,56194,4,Travel
Facebook,389879808,0,2974676,3.5,Social Networking
Yelp - Nearby Restaurants Shopping & Services,167407616,0,223885,4,Travel
Shazam - Discover music artists videos & lyrics,147093504,0,402925,4,Music
Crash Bandicoot Nitro Kart 3D,10735026,2.99,31456,4,Games
iQuran,70707916,1.99,2929,4.5,Reference
:) Sudoku +,6169600,2.99,11447,5,Games
Yahoo Sports - Teams Scores News & Highlights,130583552,0,137951,4,Sports
Mileage Log | Fahrtenbuch,71203840,5.99,8,4.5,Business
Cleartune - Chromatic Tuner,11423008,3.99,3241,4,Music
Lifesum – Inspiring healthy lifestyle app,188017664,0,5795,3.5,Health & Fitness
Hangman.,4765696,0,42316,3,Games
iTranslate - Language Translator & Dictionary,287933440,0,123215,3.5,Productivity
TouchOSC,4263936,4.99,782,4,Music
RadarScope,172772352,9.99,3449,4,Weather
LinkedIn,273844224,0,71856,3.5,Social Networking
Period Tracker Deluxe,40216576,1.99,13350,4.5,Health & Fitness
Election 2016 Map,2386944,0.99,137,3,Entertainment
Blackjack by MobilityWare,105431040,0,180087,3.5,Games
White Noise,44129280,0.99,33426,4,Health & Fitness
iHeartRadio – Free Music & Radio Stations,116443136,0,293228,4,Music
Line Rider iRide™,1646592,1.99,21609,3.5,Entertainment
Deliveries: a package tracker,30016512,4.99,4684,4,Utilities
Hurricane Pro,29518848,2.99,2104,4.5,Weather
Fieldrunners,66872320,2.99,41633,4,Games
Juxtaposer,45229056,2.99,3610,4.5,Photo & Video
Deezer - Listen to your Favorite Music & Playlists,127470592,0,4677,3,Music
iStellar,44241920,3.99,30,3.5,Navigation
Sonos Controller,107983872,0,48905,4.5,Music
Avertinoo,8044544,4.99,32,3,Navigation
Google Earth,37214208,0,446185,3.5,Travel
iFart - The Original Fart Sounds App,60320768,1.99,21825,3,Entertainment
PAC-MAN,100849664,0,508808,3,Games
FOX Sports Mobile,72748032,0,57500,3,Sports
First Words Animals,32164864,1.99,2576,4,Games
WeatherPro,69079040,1.99,1572,4,Weather
HotSchedules,82037760,2.99,3292,3,Business
Star Walk - Find Stars And Planets in Sky Above,150195200,4.99,8932,4.5,Education
The Weather Channel: Forecast Radar & Alerts,199734272,0,495626,3.5,Weather
Big Day - Event Countdown,13156352,0.99,812,3,Lifestyle
12 Steps AA Companion - Alcoholics Anonymous,30367744,2.99,1583,3.5,Lifestyle
OpenTable - Restaurant Reservations,93420544,0,113936,4.5,Food & Drink
VLC Remote,31505408,4.99,2027,4,Entertainment
gFlashPro - Flashcards & Tests,25997312,3.99,768,4,Education
Lose It! – Weight Loss Program and Calorie Counter,182054912,0,373835,4,Health & Fitness
Target,138754048,0,108131,3,Shopping
Fish Tycoon,13564835,0.99,18943,3.5,Games
Amazon App: shop scan compare and read reviews,133688320,0,126312,3.5,Shopping
Touchgrind,55205888,4.99,35735,4,Games
ProPresenter Remote,46922752,4.99,410,3,Utilities
iReal Pro - Music Book & Play Along,63283200,12.99,1390,4.5,Music
NRJ Radio,53426176,0,38,3.5,Music
Chase Mobile℠,39505920,0,233270,4.5,Finance
大辞林,210088960,21.99,64,4.5,Reference
Allrecipes Dinner Spinner,36399104,0,109349,3.5,Food & Drink
新浪新闻-阅读最新时事热门头条资讯视频,115143680,0,2229,3.5,News
MotionX GPS,56481792,1.99,14970,3.5,Navigation
AccuWeather - Weather for Life,181941248,0,144214,3.5,Weather
Mint: Personal Finance Budget Bills & Money,162891776,0,232940,4,Finance
ABC News - US & World News + Live Video,98108416,0,48407,3,News
Rowmote: Remote Control for Mac,54088704,0.99,5531,3.5,Utilities
Peekaboo Barn,50155520,1.99,3393,4,Education
Speedtest by Ookla,23936000,0,65016,3.5,Utilities
Pocket God,145293312,0.99,187529,4,Entertainment
Nike+ Training Club - Workouts & Fitness Plans,140367872,0,33969,3.5,Health & Fitness
Citi Mobile®,281244672,0,48822,3.5,Finance
Phase 10 Pro - Play Your Friends!,66695168,1.99,59155,4.5,Games
Kindle – Read eBooks Magazines & Textbooks,169747456,0,252076,3.5,Book
MASH,41691136,1.99,4913,4,Games
同花顺-炒股、股票,122886144,0,1744,3.5,Finance
Wedding Dash Deluxe,55803904,0.99,16567,4.5,Games
Beer Pong Game,188956672,0,187315,2,Games
Tempo - Metronome with Setlists,22185984,2.99,4781,4.5,Music
Skat,66160640,3.99,94,4.5,Games
